userId,listing_id,n_host_listings_total,n_host_listings_different_location
225494510,32334291,2,0
114911322,1069151675877247995,1,0
319097635,853094073038644135,1,0
66919052,38761245,1,0
277953710,709458445632905260,1,0
535650295,973872486074724012,1,0
461865297,760494904034249154,1,0
386286444,47925469,1,0
159927322,957472978806387477,1,0
189914803,25263032,1,0
121165190,1164046329562828453,1,0
170626761,912266982100895201,1,0
70085032,33023943,1,0
549633287,1039936999247068792,1,0
427825052,640636574889730224,2,0
427825052,640636574889730224,2,0
408910315,978499797128253426,1,0
144175246,583681561538631949,1,0
117301065,530405255859595622,2,0
117301065,530405255859595622,2,0
175363546,800323919992860391,1,0
431938391,711209641590252615,2,1
431938391,663321265274330664,2,1
61020846,983514824016609040,1,0
23681447,853120203632877559,2,0
23681447,853120203632877559,2,0
357307258,44306421,2,0
357307258,44306421,2,0
416186925,51393217,1,0
537578823,982632640571325518,1,0
553646915,1058618711820222285,2,0
553646915,1058618711820222285,2,0
62013453,675420757445633139,1,0
90868783,31104634,1,0
541143626,998690334805364062,1,0
464324236,649514476209897421,1,0
148002626,20970937,1,0
19983196,34021625,1,0
72518675,36946977,1,0
17110497,641200095507374401,2,0
17110497,641200095507374401,2,0
10112237,49428021,1,0
5821349,39994025,1,0
477610062,706000413190964084,1,0
176678875,1090001189590374653,2,0
176678875,1090001189590374653,2,0
231163878,1088090603007035518,1,0
478176106,708886050011923378,1,0
23258450,50208122,2,0
23258450,50208122,2,0
224223234,1104561671822782537,1,0
480879939,803687240795365474,2,1
480879939,1133543340968580902,2,1
91519117,46875429,1,0
513806733,887011687390763715,1,0
120969925,19770494,1,0
545798994,1021227766608707925,1,0
15451842,651102721833501116,1,0
45269479,641655912962593747,1,0
122232744,1030748842669774465,2,0
122232744,1030748842669774465,2,0
560599426,1085095369086670235,1,0
55699582,921607531825154917,1,0
473647621,800692984117993883,1,0
528090214,944875523398684427,3,1
528090214,1010807240220619924,3,2
528090214,944875523398684427,3,1
3671472,28539028,1,0
44191331,8386360,2,0
44191331,8386360,2,0
552461437,1053870590105292230,1,0
25609334,878496438405615507,1,0
227062512,590757816290768833,1,0
67757557,984813629316752622,1,0
549193453,1082232518884160208,1,0
263029319,52424637,1,0
471115237,677657970586388434,1,0
303768043,39536201,2,0
303768043,39536201,2,0
16912222,1078525571042755465,1,0
167767114,878277477327843642,1,0
333925804,42102095,1,0
91421258,51411384,1,0
9841080,605050090200982213,1,0
55031963,826455653885419099,2,0
55031963,826455653885419099,2,0
128860214,833416448560352272,1,0
342782762,43061768,1,0
340569398,544956585296968200,1,0
313622703,953531693952762808,1,0
22513915,42279782,1,0
50735188,37504536,2,0
50735188,37504536,2,0
1249914,26965435,1,0
104852259,845155162630015344,2,0
104852259,845155162630015344,2,0
512470416,1018235613076498757,1,0
551931903,1057557138356924293,1,0
257384824,34085315,1,0
197283680,1061568463931524510,1,0
26219481,21997267,2,0
26219481,21997267,2,0
289966442,577052238649973487,1,0
106087340,1000938883244718852,1,0
228472616,52640855,3,2
228472616,1049319150845200846,3,2
228472616,44448282,3,2
497274657,809498735245580086,1,0
124882022,1022523045231935132,2,0
124882022,1022523045231935132,2,0
258608254,848035391731168762,2,0
258608254,848035391731168762,2,0
150212115,45642012,2,0
150212115,45642012,2,0
419277444,721778792755345597,1,0
382218329,47338981,1,0
474860400,692801863988978276,1,0
6109037,43414840,1,0
438028056,967532807571548868,1,0
125240396,1104564527503997100,1,0
525148768,949533022974393855,1,0
165859936,24160843,1,0
461707369,780877234574499708,1,0
335692471,642157113335812864,1,0
280744635,811729857401987437,1,0
58264919,33973089,1,0
24976641,4855132,1,0
509049517,864695452076869866,1,0
208567047,43959595,2,0
208567047,43959595,2,0
518983235,909597063149250270,1,0
222597296,46299467,1,0
42802722,658777281675813315,2,0
42802722,658777281675813315,2,0
11371149,52075310,1,0
11665564,1069951702269979597,1,0
371169485,989357506655776565,1,0
489002017,779850814020079026,1,0
193147226,667611279640149154,1,0
62265862,732670999556814515,2,0
62265862,732670999556814515,2,0
240114605,648850430413221903,1,0
68924609,12683338,1,0
228568321,38546576,1,0
483710560,738405855144393550,1,0
129002355,864796108121544778,1,0
386020538,51389121,2,0
386020538,51389121,2,0
242308880,792257294031970953,6,4
242308880,792257294031970953,6,4
242308880,890529788621878953,6,5
242308880,1100882651363338478,6,5
242308880,611437869651237183,6,5
242308880,919853551362089713,6,5
538171108,1010307058063468588,1,0
8707775,43382762,1,0
417566544,724645771378887215,1,0
269349702,53315330,1,0
54680017,759879007516094440,1,0
178009332,764680445750812452,1,0
122881402,907882293859417750,1,0
541832848,1002188525756894142,1,0
76031202,35972886,2,0
76031202,35972886,2,0
13461119,4556376,2,0
13461119,4556376,2,0
570940293,1129113278421209940,3,1
570940293,1129113278421209940,3,1
570940293,1130635817305553609,3,2
51655372,584128857712775381,2,0
51655372,584128857712775381,2,0
21105701,906668253764248455,1,0
16723868,878520380594165424,1,0
100498237,39624926,1,0
149598296,20847183,2,1
149598296,964665569639235606,2,1
14336321,1021864619668113924,1,0
35436820,673176087140679359,1,0
46583712,8907016,1,0
72294410,46505430,1,0
168052635,53933624,1,0
303565822,769660681026492763,1,0
110695953,1003724641261133072,1,0
208385319,27636567,1,0
20125817,48872793,1,0
8599679,553577195009959445,1,0
519313037,911102774992330915,1,0
432639307,53432982,1,0
463637709,646614215570757026,1,0
504969876,942910722302439631,2,1
504969876,845249400928063157,2,1
152391530,649528608932221836,1,0
144355179,45254017,3,2
144355179,752799207816991752,3,2
144355179,578209579766390354,3,2
518393522,907218428216502723,1,0
416072330,970453950655241943,2,0
416072330,1161082327950574790,2,0
92850986,841907555209043261,1,0
398893250,950009313172154081,1,0
519287081,910975041866719893,1,0
123528548,22551971,1,0
484999426,831492051017660759,1,0
146402825,812626291557375964,1,0
523758210,1071111163654939288,1,0
93555119,1107238088441608249,1,0
287084531,1146380150871302879,1,0
407573574,676305343999273793,3,2
407573574,1143517220384007741,3,1
407573574,1142852222271487849,3,1
256903664,598064028485823118,1,0
380472434,47075163,1,0
333430523,916648949426372003,1,0
116772650,53275971,1,0
317221937,1077035302549075969,4,3
317221937,1078473810602388610,4,2
317221937,1081179589913577119,4,3
317221937,1122657548963770073,4,2
310688818,973539351278405788,1,0
1658629,846400768241019299,1,0
241949672,52041618,1,0
250954759,727551693508606173,1,0
465123577,1163320992123929622,1,0
538895868,988429112554949877,1,0
137691111,974216645150907186,1,0
475030569,693605386712626581,1,0
425365954,52554497,1,0
324283179,41312380,1,0
460046672,631013585563620755,1,0
498008338,812605973349062968,1,0
532240045,959467679519116123,1,0
17744796,26635729,1,0
471565069,703885461701368236,1,0
417539099,51924774,1,0
102122731,39174303,1,0
144990891,759708597917891905,1,0
516401734,898687072519459539,1,0
465798523,958296734456097292,1,0
552969344,1055915852527580350,2,1
552969344,1126361527316612507,2,1
219545830,959582315007300392,1,0
464513961,698549670635810723,1,0
505380978,900267256642653869,1,0
74711285,52693482,2,1
74711285,47383630,2,1
252475499,1115566493665527985,1,0
373542318,1090210441352810389,4,3
373542318,856499961403619712,4,3
373542318,618142628702732977,4,3
373542318,706809539379527573,4,3
151580268,614818894342711012,2,1
151580268,21314369,2,1
75306974,49780317,1,0
88222315,1068162387959494216,1,0
8109856,26252514,1,0
99407143,45025159,1,0
83341902,1043679102675605919,2,0
83341902,1042057287018668406,2,0
28167627,35683984,1,0
158893047,917019398584545032,1,0
474824190,692656549120285953,1,0
22780368,1145762966813121918,2,1
22780368,1066717866678438544,2,1
450090214,608058808293306586,1,0
22405531,46944766,1,0
390339395,643733249454008029,1,0
157994331,557479179318648738,1,0
325711561,43507289,1,0
7558854,48645410,1,0
422748722,852467045126151608,1,0
373673993,1097126536273682684,1,0
147465959,930087184251167206,1,0
205187961,51992144,2,1
205187961,51992181,2,1
491454661,1069925616010074973,1,0
58255981,819408453635552769,1,0
17643948,3504506,1,0
481658164,1131277574568922786,1,0
529059680,947865793916698083,1,0
415445727,879231392656535315,1,0
231145950,36181415,1,0
8120712,41764377,1,0
121266236,1067002558726832028,1,0
520863176,917356591029137684,1,0
306061432,612541162266516808,1,0
27018570,819145027182065946,1,0
255817963,48591433,1,0
271691287,692705863212578819,1,0
18011665,1077042431824729094,1,0
248762759,33050920,1,0
324034864,584085379728759101,1,0
101113542,782189915099713241,2,1
101113542,52429299,2,1
397384293,1042325869431845632,1,0
309385907,843038742753999597,1,0
569772792,1124158511570947969,2,1
569772792,1124140635284275656,2,1
144334674,774221805290782054,1,0
147943066,32363997,1,0
571293789,1130557523156868353,1,0
436336348,53867480,1,0
217525593,33552135,1,0
534580361,969056397015991823,1,0
257692251,48244058,1,0
499199459,818017606526959105,1,0
218834523,31495244,1,0
328906440,41672364,1,0
15149621,41433896,1,0
34045983,1100225296743532545,1,0
3582937,45506650,1,0
500625023,824642253512384158,1,0
359898862,51574936,1,0
462953488,643638607829591040,1,0
502234345,832221626244362767,1,0
130765494,49689370,1,0
244381517,888324053722296449,1,0
151460671,891617348149724165,1,0
479574859,929857849320538093,1,0
508821650,915544108679182907,1,0
443254151,553512841135578584,1,0
111773622,36267058,1,0
174290961,1101130124451209796,1,0
481307185,827827521657438640,1,0
80571062,927007116591176664,1,0
464498126,682797978162422894,1,0
435377591,726189696253392279,2,1
435377591,53756011,2,1
204896221,1065607119545490366,1,0
516079591,897334746573588742,1,0
292604785,892805516931525382,1,0
69464287,1097443725735243114,1,0
341558285,1166334974671070408,3,2
341558285,1166334775501107589,3,2
341558285,1166335040843462661,3,2
13902355,2906696,1,0
128415949,18504101,1,0
86213582,17544641,1,0
27336556,720282475778800874,1,0
16118036,1104100801088917961,1,0
115986394,668289053447744600,1,0
225631523,49840486,1,0
52056051,1071922460191535611,1,0
529160363,948223951764346210,1,0
554141890,1084932536480244363,1,0
481155357,744253185618510183,1,0
219737608,40036522,1,0
397380858,1129775483902121255,1,0
58930743,915861413397437684,1,0
550759500,1132017332287116354,1,0
289600456,1049545282129058440,1,0
220854221,50733497,1,0
227662329,1105882887191711789,1,0
